Time,Muscle,Side,MQ(0-100),MQ(raw),Fat %
2018-05-06T05:49:40.189Z, total, r, 99.77675, 169.46198, 8
2018-05-06T05:49:34.024Z, upper_back, l, 98.75214, 155.03769, 8.2
2018-05-06T05:49:01.580Z, upper_back, r, 99.39678, 158.94061, 7.6
2018-05-06T05:47:59.069Z, triceps, l, 97.735405, 155.09903, 11.3
2018-05-06T05:47:02.100Z, triceps, r, 98.41152, 157.89185, 10
2018-05-06T05:46:43.524Z, shoulders, l, 98.76093, 151.51909, 9.4
2018-05-06T05:46:28.535Z, shoulders, r, 99.37684, 155.9133, 9
2018-05-06T05:46:09.679Z, quads, l, 99.03588, 165.15968, 10.1
2018-05-06T05:45:52.985Z, quads, r, 99.29803, 168.23787, 8.8
2018-05-06T05:45:20.363Z, lower_back, l, 99.794136, 166.11395, 7.6
2018-05-06T05:45:05.378Z, lower_back, r, 99.81758, 167.08598, 7.5
2018-05-06T05:44:44.720Z, hamstrings, l, 99.73281, 165.26428, 8.5
2018-05-06T05:44:25.638Z, hamstrings, r, 99.698746, 164.38809, 8.6
2018-05-06T05:44:07.011Z, glutes, l, 99.86906, 159.88962, 8.3
2018-05-06T05:43:38.027Z, glutes, r, 99.90724, 162.48257, 7.9
2018-05-06T05:43:18.954Z, forearms, l, 86.606995, 126.230934, 11.7
2018-05-06T05:43:02.435Z, forearms, r, 97.41275, 132.6821, 11.5
2018-05-06T05:42:33.499Z, chest, l, 99.5705, 171.10144, 8.6
2018-05-06T05:41:37.618Z, chest, r, 99.65545, 173.271, 8.1
2018-05-06T05:41:13.768Z, calves, l, 97.102356, 136.83658, 10.3
2018-05-06T05:40:58.734Z, calves, r, 98.535835, 139.89879, 9.7
2018-05-06T05:40:41.591Z, biceps, l, 96.06091, 139.96417, 10
2018-05-06T05:40:27.642Z, biceps, r, 95.7262, 139.5552, 10.4
2018-05-06T05:40:11.528Z, abs, l, 99.481346, 177.98813, 6.2
2018-05-06T05:39:34.859Z, abs, r, 99.63516, 182.25623, 6
2018-04-29T06:58:40.992Z, total, r, 99.742935, 168.32684, 7.8
2018-04-29T06:58:34.853Z, upper_back, l, 99.612015, 161.28606, 7.6
2018-04-29T06:57:48.958Z, upper_back, r, 99.65699, 161.9389, 7.3
2018-04-29T06:57:05.764Z, triceps, l, 97.57513, 154.55423, 10.8
2018-04-29T06:56:49.201Z, triceps, r, 98.72494, 159.60117, 10.2
2018-04-29T06:56:26.158Z, shoulders, l, 99.096825, 153.54922, 9.6
2018-04-29T06:55:48.993Z, shoulders, r, 99.47296, 156.97562, 9.3
2018-04-29T06:55:28.067Z, quads, l, 99.44952, 170.5838, 8.8
2018-04-29T06:55:13.041Z, quads, r, 98.80101, 163.03117, 8.5
2018-04-29T06:54:29.077Z, lower_back, l, 99.6885, 162.77942, 8.3
2018-04-29T06:54:09.184Z, lower_back, r, 99.734215, 164.05826, 7.9
2018-04-29T06:53:49.748Z, hamstrings, l, 99.70974, 164.65974, 8.5
2018-04-29T06:53:34.755Z, hamstrings, r, 99.51355, 160.88019, 9
2018-04-29T06:53:18.870Z, glutes, l, 99.75555, 155.18619, 9.2
2018-04-29T06:53:03.084Z, glutes, r, 99.899345, 161.86816, 8.1
2018-04-29T06:52:39.586Z, forearms, l, 81.8618, 124.60684, 10.7
2018-04-29T06:52:08.364Z, forearms, r, 97.886894, 133.38095, 9.3
2018-04-29T06:51:48.781Z, chest, l, 99.52519, 170.11235, 8.2
2018-04-29T06:50:59.954Z, chest, r, 99.79816, 178.51968, 7.5
2018-04-29T06:48:44.561Z, calves, l, 97.92705, 138.35344, 9.8
