Time,Muscle,Side,MQ(0-100),MQ(raw),Fat %
2019-03-31T06:40:24.300Z, total, r, 99.530785, 163.4702, 8.4
2019-03-31T06:40:22.056Z, upper_back, l, 99.524086, 160.202, 7.3
2019-03-31T06:39:49.560Z, upper_back, r, 98.9128, 155.78305, 7.6
2019-03-31T06:39:12.488Z, triceps, l, 98.53715, 158.53427, 8.7
2019-03-31T06:38:45.217Z, triceps, r, 98.279274, 157.2662, 9.3
2019-03-31T06:38:26.450Z, shoulders, l, 97.96198, 148.27881, 9.5
2019-03-31T06:38:11.736Z, shoulders, r, 99.63329, 159.26791, 8.4
2019-03-31T06:37:55.580Z, quads, l, 98.75682, 162.67651, 8.6
2019-03-31T06:37:40.418Z, quads, r, 99.0219, 165.01953, 8
2019-03-31T06:37:24.352Z, lower_back, l, 99.348976, 156.81348, 8.3
2019-03-31T06:37:07.659Z, lower_back, r, 98.54129, 150.19342, 9
2019-03-31T06:36:38.590Z, hamstrings, l, 99.311035, 158.31949, 9
2019-03-31T06:36:14.288Z, hamstrings, r, 99.35554, 158.81186, 9.1
2019-03-31T06:35:48.773Z, glutes, l, 96.42569, 134.41127, 11.6
2019-03-31T06:35:29.743Z, glutes, r, 95.6049, 132.68994, 12.8
2019-03-31T06:35:00.127Z, forearms, l, 87.90745, 126.71799, 9.5
2019-03-31T06:34:43.393Z, forearms, r, 90.57732, 127.8257, 10.1
2019-03-31T06:34:25.615Z, chest, l, 99.22298, 165.23508, 8.6
2019-03-31T06:33:52.992Z, chest, r, 99.64779, 173.05469, 7.6
2019-03-31T06:33:32.962Z, calves, l, 97.387535, 137.30943, 9.8
2019-03-31T06:33:14.199Z, calves, r, 96.058624, 135.40787, 9.9
2019-03-31T06:32:56.247Z, biceps, l, 90.127525, 135.0206, 10.7
2019-03-31T06:32:40.318Z, biceps, r, 96.04528, 139.9444, 9.7
2019-03-31T06:32:25.112Z, abs, l, 98.23225, 162.88763, 7.4
2019-03-31T06:32:07.917Z, abs, r, 98.839294, 168.12485, 7.2
2019-03-24T06:59:54.057Z, total, r, 99.42377, 161.80489, 9.3
2019-03-24T06:59:47.834Z, upper_back, l, 98.94388, 155.93948, 7.9
2019-03-24T06:59:12.239Z, upper_back, r, 99.33553, 158.42471, 7.3
2019-03-24T06:58:31.379Z, triceps, l, 98.40861, 157.87753, 8.8
2019-03-24T06:58:15.986Z, triceps, r, 98.97236, 161.26692, 8
2019-03-24T06:57:48.538Z, shoulders, l, 97.775505, 147.70082, 9.9
2019-03-24T06:57:31.666Z, shoulders, r, 98.15685, 148.93893, 9.6
2019-03-24T06:57:15.778Z, quads, l, 98.09878, 158.47801, 9.6
2019-03-24T06:56:58.951Z, quads, r, 98.42702, 160.36, 9.5
2019-03-24T06:56:35.678Z, lower_back, l, 99.30584, 156.29144, 8.8
2019-03-24T06:56:20.788Z, lower_back, r, 99.061295, 153.82707, 8.6
2019-03-24T06:56:05.579Z, hamstrings, l, 99.42153, 159.60716, 8.7
2019-03-24T06:55:50.326Z, hamstrings, r, 99.36324, 158.90042, 8.7
2019-03-24T06:55:34.394Z, glutes, l, 99.16092, 145.82343, 9.9
2019-03-24T06:55:17.200Z, glutes, r, 99.32032, 147.43405, 9.7
2019-03-24T06:54:54.254Z, forearms, l, 72.91387, 121.87416, 11.4
2019-03-24T06:54:36.659Z, forearms, r, 90.868416, 127.95848, 10
2019-03-24T06:54:19.293Z, chest, l, 98.001114, 155.71399, 10.2
2019-03-24T06:53:39.349Z, chest, r, 99.58685, 171.48389, 7.9
2019-03-24T06:52:43.215Z, calves, l, 96.29017, 135.69238, 9.1
2019-03-24T06:52:25.624Z, calves, r, 96.34945, 135.76778, 9.5
2019-03-24T06:51:56.328Z, biceps, l, 95.714455, 139.54138, 9.4
2019-03-24T06:51:42.200Z, biceps, r, 92.67768, 136.73094, 10.1
2019-03-24T06:51:25.418Z, abs, l, 98.4062, 164.18517, 7.3
2019-03-24T06:51:08.138Z, abs, r, 98.35474, 163.78775, 7.6
2019-03-17T07:06:36.472Z, total, r, 99.70478, 167.21205, 7.7
2019-03-17T07:06:34.755Z, upper_back, l, 99.2552, 157.81482, 8
2019-03-17T07:06:05.909Z, upper_back, r, 99.55394, 160.54605, 7.3
2019-03-17T07:05:34.277Z, triceps, l, 97.64956, 154.80289, 9.9
2019-03-17T07:05:04.981Z, triceps, r, 98.65309, 159.17612, 9.1
2019-03-17T07:04:45.812Z, shoulders, l, 96.23706, 144.15552, 10
2019-03-17T07:04:17.277Z, shoulders, r, 99.24061, 154.65593, 8.9
2019-03-17T07:04:02.970Z, quads, l, 98.99072, 164.71382, 8.3
2019-03-17T07:03:48.032Z, quads, r, 99.386375, 169.53706, 7.4
2019-03-17T07:03:32.146Z, lower_back, l, 98.93016, 152.75406, 9.2
2019-03-17T07:03:13.699Z, lower_back, r, 99.20557, 155.19153, 8.5
2019-03-17T07:02:57.545Z, hamstrings, l, 98.93159, 155.06833, 9.8
2019-03-17T07:02:41.972Z, hamstrings, r, 99.61994, 162.689, 8.5
2019-03-17T07:02:18.213Z, glutes, l, 97.1353, 136.21579, 11.8
2019-03-17T07:02:03.093Z, glutes, r, 98.52891, 141.49051, 10.6
2019-03-17T07:01:47.883Z, forearms, l, 80.88902, 124.28912, 9.6
2019-03-17T07:01:32.763Z, forearms, r, 88.78869, 127.06494, 9.7
2019-03-17T07:00:43.174Z, chest, l, 99.09052, 163.66747, 8.8
2019-03-17T07:00:26.475Z, chest, r, 99.249886, 165.58543, 8.3
2019-03-17T07:00:08.077Z, calves, l, 98.62426, 140.17328, 9.2
2019-03-17T06:59:44.812Z, calves, r, 99.098755, 142.0228, 9.1
2019-03-17T06:59:09.172Z, biceps, l, 96.94813, 141.22192, 9.1
2019-03-17T06:58:52.612Z, biceps, r, 96.240204, 140.19612, 10.1
2019-03-17T06:58:33.489Z, abs, l, 98.70562, 166.77542, 7
2019-03-17T06:58:16.162Z, abs, r, 99.21432, 172.92297, 6.5
2019-03-10T06:44:11.390Z, total, r, 99.678375, 166.52142, 8
2019-03-10T06:44:05.121Z, upper_back, l, 98.628, 154.52296, 7.8
2019-03-10T06:43:20.798Z, upper_back, r, 99.70248, 162.69186, 7
2019-03-10T06:42:47.586Z, triceps, l, 97.490585, 154.2803, 9.6
2019-03-10T06:42:30.848Z, triceps, r, 98.007065, 156.11124, 9.9
2019-03-10T06:42:12.802Z, shoulders, l, 98.01569, 148.45456, 9.1
2019-03-10T06:41:55.884Z, shoulders, r, 99.55017, 157.9779, 8.1
2019-03-10T06:41:40.177Z, quads, l, 99.03433, 165.1441, 8.5
2019-03-10T06:41:21.413Z, quads, r, 99.48904, 171.30103, 7.5
2019-03-10T06:40:57.341Z, lower_back, l, 99.55856, 159.96405, 8.1
2019-03-10T06:40:42.043Z, lower_back, r, 99.583336, 160.43103, 7.6
2019-03-10T06:40:22.017Z, hamstrings, l, 99.429565, 159.71008, 8.8
